aviris_wl,aviris_35_bl,aviris_60_mixed,aviris_39_nl,ref_albedo_prospect,boreas_aspen,boreas_alder,boreas_balsampoplar,boreas_blackspruce,boreas_jackpine,boreas_hazelnut,boreas_mixed,aspen,alder,balsampoplar,blackspruce,jackpine,hazelnut,mixed
655.54,0.018411111,0.017522222,0.018922222,0.179185428,0.139330066,0.12055,0.231775,0.101866667,0.095958824,0.1550625,0.120598366,0.139644179,0.121294822,0.234761483,0.128119014,0.108412226,0.159959604,0.134570433
664.13,0.016911111,0.016333333,0.017655556,0.133818578,0.125289145,0.1121,0.21885,0.093558333,0.088748529,0.135675,0.109423739,0.125571604,0.112792613,0.221669941,0.117669517,0.10026619,0.139959818,0.122101156
673.64,0.015577778,0.0153,0.0168,0.105003394,0.118349112,0.1091,0.2129125,0.089920833,0.087577941,0.12565625,0.104134973,0.118615925,0.109774077,0.215655935,0.113094587,0.098943685,0.129624661,0.116199653
683.15,0.016944444,0.016544444,0.018022222,0.128349665,0.150985099,0.130225,0.24161875,0.109927083,0.110823529,0.17128125,0.130456091,0.151325488,0.131029599,0.244732073,0.138256704,0.125206053,0.176690566,0.145570236
692.67,0.025722222,0.023677778,0.025066667,0.289098007,0.270506579,0.2172,0.3436625,0.189102083,0.203145588,0.32866875,0.229804331,0.271116424,0.218541976,0.348090684,0.237836118,0.22950954,0.339048597,0.256428585
702.2,0.055066667,0.0464,0.0459,0.546627056,0.457429704,0.383625,0.504675,0.32346875,0.366855882,0.5405125,0.390449227,0.45846096,0.385995238,0.511177874,0.4068308,0.414465929,0.557582687,0.435685185
711.74,0.103344444,0.0814,0.077044444,0.733236255,0.638942895,0.571975,0.66459375,0.467141667,0.540811765,0.70941875,0.553042281,0.640383364,0.575508963,0.67315722,0.587530072,0.610997564,0.731823247,0.61711565
721.28,0.161733333,0.123788889,0.113311111,0.843100825,0.783778618,0.73255,0.79529375,0.591847917,0.681113235,0.82168125,0.687813268,0.785545614,0.737076081,0.805541325,0.744374723,0.769507164,0.847631163,0.76750069
730.83,0.226822222,0.1714,0.154988889,0.911949683,0.879414474,0.8423,0.881925,0.67825,0.770879412,0.88864375,0.778832237,0.881397076,0.847504174,0.893288842,0.853043733,0.870923071,0.916708438,0.86906477
740.39,0.2826,0.212433333,0.191488889,0.94826215,0.928267303,0.901625,0.9262375,0.7237875,0.815748529,0.92110625,0.826027401,0.930360041,0.907195715,0.93817232,0.910316831,0.92161524,0.950196152,0.921727786
749.96,0.312944444,0.234077778,0.209722222,0.964977132,0.945775461,0.92465,0.9423,0.741858333,0.832135294,0.9336375,0.843816897,0.947907671,0.930362976,0.95444179,0.93304475,0.940128656,0.963123158,0.941578305
759.53,0.331155556,0.246155556,0.220355556,0.971248262,0.953053487,0.9358,0.94875,0.750616667,0.839479412,0.93994375,0.851835077,0.955202105,0.941581866,0.9609749,0.944060218,0.948425883,0.969628569,0.95052544
769.11,0.341922222,0.254177778,0.227844444,0.974319743,0.956900461,0.9429,0.95229375,0.756554167,0.843977941,0.944075,0.856727314,0.959057751,0.948725734,0.964564312,0.951527888,0.953508226,0.97389029,0.955984473
778.69,0.354,0.263488889,0.236155556,0.976643959,0.957885757,0.9454,0.95371875,0.758958333,0.845616176,0.94599375,0.858422045,0.960045269,0.95124118,0.966007674,0.95455164,0.955359069,0.975869637,0.957875549
788.28,0.359566667,0.267833333,0.240066667,0.978313024,0.958076546,0.9466,0.95450625,0.758925,0.846252941,0.94669375,0.858500773,0.960236488,0.952448594,0.966805321,0.954509716,0.956078472,0.976591744,0.957963399
797.87,0.3601,0.268855556,0.241088889,0.97903819,0.958572829,0.948125,0.95563125,0.759354167,0.847119118,0.9477125,0.858963498,0.96073389,0.953983017,0.967944817,0.955049484,0.95705706,0.977642667,0.958479733
807.47,0.358455556,0.268011111,0.240166667,0.979188717,0.959573257,0.95005,0.9571375,0.760989583,0.848507353,0.9492125,0.86028142,0.961736573,0.95591991,0.969470475,0.957106369,0.958625458,0.979190039,0.959950344
